word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಸರತ್ತು,ಅವರಿಗೆ ಯೋಗ ಎಂದರೆ ಕಸರತ್ತು ಅಲ್ಲ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಅವರ ಸಲಹೆ ಆಧರಿಸಿ ಸಿಕ್ಸ್‌ಪ್ಯಾಕ್‌ಗೆ ಕಸರತ್ತು ನಡೆಯುತ್ತಿದೆ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಅಥವಾ ಜಿಮ್‌ಗೆ ಹೋಗಿ ಒಂದಿಷ್ಟು ಕಸರತ್ತು ಮಾಡು ಎಂದು ಹೇಳಬಹುದಾ?,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಹಾಗಾಗಿ ಮೈದಾನದಲ್ಲೇ ನನ್ನ ಕಸರತ್ತು ಜಾಸ್ತಿ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ವಿ ನೋಡುವ ವೇಳೆ ಸಣ್ಣ ಪುಟ್ಟ ದೈಹಿಕ ಕಸರತ್ತು ಮಾಡುವುದು ಉತ್ತಮ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಮಕ್ಕಳ ಆರೋಗ್ಯ ಸದೃಢವಾಗಲು ದೈಹಿಕ ಕಸರತ್ತು ಮಾಡಿಸಲಾಗುತ್ತದೆ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಧೋನಿ ರೀತಿಯಲ್ಲೇ ಮಗಳು ಝಿವಾ ಕೂಡ ಫಿಟ್ನೆಸ್ ಕಸರತ್ತು ಆರಂಭಿಸಿದ್ದಾರೆ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಜಿಮ್‌ನಲ್ಲಿ ಎಷ್ಟೇ ಕಸರತ್ತು ಮಾಡಿದರೂ ಒಂದು ವ್ಯಾಯಾಮದಲ್ಲಿ ಏಕಕಾಲಕ್ಕೆ ಎರಡು ಮಸಲ್‌ಗಳ ಮೇಲೆ ಪರಿಣಾಮ ಬೀರಬಹುದು.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ಗೇಲ್ ಮಂಗಳವಾರ ಅಭ್ಯಾಸದ ವೇಳೆ ಸಹ ಆಟಗಾರರು ದೈಹಿಕ ಕಸರತ್ತು ನಡೆಸುವುದನ್ನು ನೋಡುತ್ತಾ ನಿಂತಿದ್ದರು!,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
ಕಸರತ್ತು,ತೂಕ ಇಳಿಸಲು ಸಾಕಷ್ಟು ಮಂದಿ ಎನೇನೋ ಕಸರತ್ತು ಮಾಡುತ್ತಾರೆ.,ವ್ಯಾಯಾಮ,Excercise,Yes,qwerty,2025-02-04 07:47:17
