word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮೃಗ,"ಅನೇಕ ಜಾತಿಯ ವನ್ಯ ಮೃಗ , ಪಕ್ಷಿಗಳು ಹಾಗೂ ವಿವಿಧ ಮರಗಳು ಇಲ್ಲಿ ಕಂಡು ಬರುತ್ತವೆ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ವನದಲ್ಲಿ ಮೃಗ ಪ್ರಾಣಿಗಳಿವೆಯೇ ಎಂದು ಕೇಳಿದೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ಚಮರೀ ಮೃಗ ಹಾಗೂ ಹಸುಗಳ ಕೂಡಿಕೆಯಿಂದ ಹುಟ್ಟಿದ ಮಿಶ್ರ ತಳಿ Godfrua ಶಿಕ್ಷಕ ಅಂಶವನ್ನು ಮತ್ತು ಸವಾಲನ್ನು ಒಪ್ಪಿಕೊಂಡರು.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,"ಆದರೆ ಇವರ ಕಣ್ಣಿಗೆ ಬಿದ್ದಿರುವಷಟು ಬಗೆ ಬಗೆಯ ಮರ ಬಳ್ಳಿ ಪೊದರುಗಳು, ಮೃಗ ಪಕ್ಷಿ ಕ್ರಿಮಿಕೀಟಗಳು ಬೇರೆಯವರ ದೃಷ್ಟಿಗೆ ಬಿದ್ದಿರಲಿಕ್ಕಿಲ್ಲ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,"ಆಗ ಹೆಂಡತಿ, ಯಾವ್ ಮೃಗ ಬರುತ್ತೋೋ ನೋಡಿಯೇ ಬಿಡೋಣ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ಪುರುಷ ಮೃಗ ನೇರ: ಹೇಗೆ ಸ್ಥಾಪಿಸಲು ಮತ್ತು ಸೇವೆ ಕೆಲಸ,ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ಕೃಷ್ಣ ಮೃಗ ಬೇಟೆ ಪ್ರಕರಣ: ನನ್ನದೇನೂ ತಪ್ಪಿಲ್ಲ ಎಂದ ಸಲ್ಮಾನ್,ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ಭಾರತ ೧೯೮೩ ರಿಂದಲೂ ವಲಸೆ ವನ್ಯ ಮೃಗ ಸಂರಕ್ಷಣಾ ಸಮಾವೇಶಗಳಲ್ಲಿ ಭಾಗಿಯಾಗಿದೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:12
ಮೃಗ,ಆದರೆ ನೀವು ಘರ್ಜನೆ ಮಾಡಲು ಸಿದ್ಧವಾಗಿದ್ದರೆ ಅದನ್ನು ಇನ್ನಷ್ಟು ತೀವ್ರತೆಗಾಗಿ ನೀವು ಮೃಗ ಕ್ರಮದಲ್ಲಿ ತೆಗೆದುಕೊಳ್ಳಬಹುದು.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಎಲ್ಲಾ ಪಾತ್ರಗಳನ್ನೂ, ಭಿಲ್ಲರಿಂದ ಹಿಡಿದು ಮೃಗ ಪಕ್ಷಿಗಳೆಲ್ಲವನ್ನೂ ಶಾಸ್ತ್ರೀಯ ನೃತ್ಯದ ಚೌಕಟ್ಟಿನಲ್ಲಿ ಬಿಂಬಿಸಿರುವ ಭ್ರಮರಿಯ ಶೈಲಿ ಅದ್ಭುತವಾಗಿದೆ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಬಂಡೀಪುರ ರಾಷ್ಟ್ರೀಯ ಉದ್ಯಾನ, ವನ್ಯ ಮೃಗ ಸಂರಕ್ಷಣಾ ಕೇಂದ್ರ ಹಾಗೂ ಟೈಗರ್ ಪ್ರಾಜೆಕ್ಟ್ ನಂತರ ದಕ್ಷಿಣ ಭಾರತದ ಅತಿ ದೊಡ್ಡ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಬಂದುದೈ ಮಾರೀಚ ಬಹು ಮೃಗ |,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಅಂದರೆ ಈ ಲೈಂಗಿಕಭಾವನೆ ಮಾನವ ಮೃಗ ಪಕ್ಷಿಗಳಿಗೊಂದೇ ಇರುವುದಿಲ್ಲ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ರಾಜಿಯಿಂದಿಹ ಮೃಗ | ರಾಜಪೀಠವ ನೋಡಿ ||೨೦೬||,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಇಲ್ಲಿರುವ ಆನೆ, ಘೇಂಡಾ ಮೃಗ ಅಮೆರಿಕನ್ ಪ್ರವಾಸಿಗಳ ಪಾಲಿಗಂತೂ ಅಪರೂಪದ ಪ್ರಾಣಿಗಳು.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಕಡಿವ ಕರಡಿ ಸಿಂಹ ಸಾರಂಗ ಮೃಗ ನಮ್ಮ,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಮೃಗ ಪಕ್ಷಿಗಳಿಗಿಲ್ಲದ ಸ್ವಾತಂತ್ರ್ಯ ಮನುಷ್ಯನಿಗೆಲ್ಲಿ?,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಕೊಂದು ತಿನ್ನುವ ಮೃಗ ಆಗಬೇಕಿಲ್ಲ ಅಲ್ಲವೇ?,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಕರಿರಾಜ : ಝೇಂಕರಿಪ ಈ ಕಾಠಿಣ್ಯತರವಾದ ಘೋರ ಅಟವಿಯೊಳ್ ಹೂಂಕರಿಪ ಕರಿ, ಸಿಂಹ, ಶಾರ್ಧೂಲ, ವ್ಯಾಘ್ರ, ಗಂಡಭೇರುಂಡ ಮೃಗಜಾತಿಗಳ ತಂಡಗಳಲ್ಲಿ ಸಂಚರಿಪ ಕಡವೆ, ಕಾಡೆಮ್ಮೆ, ಸಾರಂಗ, ಕರಡಿ, ಹಂದಿ, ಹುಲ್ಲೆ ಮುಂತಾದ ದುಷ್ಠ ಮೃಗ ಜಾತಿಗಳು ಸಂಚರಿಪ ಈ ಅಟವಿಯೋಳ್ ಝಣ ಝಣತ್ಕಾರ ಶಬ್ಧಗಳಿಂದ ಸಂಚರಿವ ನೀನ್ಯಾರೆ ನಾರಿ ಮದನ ಕಠಾರಿ-",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಆದರೆ, ಈ ಮೃಗ ಸ್ವಭಾವದ ಗುಣಗಳ ಹೊರತಾಗಿ ಅನೇಕ ಮಾನವೀಯ ಗುಣಗಳನ್ನೂ ಶಕ್ತಿ ಸಾಮರ್ಥ್ಯಗಳನ್ನೂ ಮನುಷ್ಯ ಪಡೆದಿರುತ್ತಾನೆ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಇಲ್ಲಿ ಪಕ್ಷಿಗಳು ದುಃಖದಲ್ಲಿ ಪಾಲುಗೊಂಡುದನ್ನು ಓದಿದಾಗ ನಮಗೆ ತಟ್ಟನೆ ಲಕ್ಷ್ಮೀಶನ ಜೈಮಿನಿ ಭಾರತದ ಸೀತೆಯ ದುಃಖದಲ್ಲಿ ಅಲ್ಲಿದ್ದ ಪಕ್ಷಿ ಮೃಗ ಸಮೂಹ ಭಾಗಿಯಾದ ಸನ್ನೀವೇಶ ನೆನಪಿಗೆ ಬರದಿರದು.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಮೃಗ ಮನುಶ್ಯನನ್ನ ಕೊ೦ದ್ರೆ ಅದು ಆತ್ಮ ರಕ್ಷಣೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಅಂತಹ ಸೊಬಗಿನ ತಾಣ ತಿರುವನಂತಪುರಂ ನಲ್ಲಿರುವ ವನ್ಯ ಮೃಗ ಅಭಯಾರಣ್ಯ!,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಒಂದು ಮೃಗ ಒಂದೇ ರೀತಿಯ ಕೆಲಸವನ್ನು ಮಾಡುತ್ತದೆ, ಇದು ಮರದಂತೆಯೇ ಹೋಗುತ್ತದೆ, ಆದರೆ ಇದು ಅದೇ ರೀತಿಯ ಜಾತಿಯ ಜಾತಿಯಷ್ಟೇ ಅಲ್ಲದೇ ವ್ಯಾಪಕ ಗಾತ್ರದಲ್ಲಿ ಕಂಡುಬರುತ್ತದೆ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಮತ್ತೊಬ್ಬನನ್ನು ಕೊಂದೇ ತಾನು ಬದುಕ ಬೇಕೆಂಬ ಮೃಗ ಪ್ರವೃತ್ತಿ ನಾಗರೀಕತೆಯ ಸೀಮೆಯ ಅಡಿಯಲ್ಲೇ ಹೆಡೆಯಾಡಿಬಿಡುತ್ತದೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಆದರೆ ಇಲ್ಲಿ ಮನುಷ್ಯರ್ಯಾರು, ಮೃಗ ಯಾವುದು ಎಂದು ನಿರ್ಧರಿಸುವುದು ಪ್ರೇಕ್ಷಕನಿಗೆ ಬಿಟ್ಟ ವಿಚಾರ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಇದು ಖಡ್ಗ ಮೃಗ ಗಳಿಗೆ ಬ್ರಹ್ಮಪುತ್ರಾ ನದಿಯ ಉತ್ತರಕ್ಕಿರುವ ಏಕೈಕ ಅವಾಸಸ್ಥಾನವಾಗಿದೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಧರ್ಮವಿಲ್ಲದ ಬದುಕು ಮೃಗ ಸಮಾನ ಬದುಕು.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ನಿಜ ಹೇಳಬೇಕೆಂದರೆ ಮನುಷ್ಯನಿಗಿಂತ ಕೆಟ್ಟ ಕ್ರೂರ ಮೃಗ ಈ ಭೂಮಿಯ ಮೇಲೆ ಬೇರೆ ಯಾವ ಜೀವಿಯೂ ಇಲ್ಲ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಸಂದುಗೊಂದನರಸಲು ಮೃಗ ಕಾಣದೆ |,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಹೆಸರೇ ಹೇಳುವಂತೆ ಇಲ್ಲಿ ಮೃಗ ವಧೆ ಆಗಿದೆ .,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಒಂದೆರಡು ವರ್ಷ ಮಳೆ ಬೀಳದಿದ್ದರೆ, ಭೂಮಿಯಲ್ಲಿರುವ ಸಕಲ ಚರಾಚರ ಜೀವರಾಶಿ ನಾಶವಾಗುತ್ತದೆ; ಮರ ಮನುಷ್ಯ ಮೃಗ ಪಕ್ಷಿ ಯಾವುದೂ ಇರುವುದಿಲ್ಲ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ದೇವಾಲಯದಲ್ಲಿ ಹೊಕ್ಕ ಮೃಗ ಸಿಕ್ಕ ಕೂಡಲೇ ಆತನಿಗೆ ಶಿವನಲ್ಲಿ ಎಲ್ಲಿಲ್ಲದ ನಿಷ್ಠೆ ಪ್ರೀತಿ ಭಕ್ತಿಗಳು ಬೆಳೆಯುತ್ತವೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಇಲ್ಲಾ ಅಂದ್ರೆ ಯಾವುದೋ ಕಾಡು ಮೃಗ ಅಂದುಕೊಂಡು ಮಗು ನಿಮ್ಮನ್ನು ನೋಡಿ ಹೆದರಿಕೊಂಡೀತು ಎಂದು ಹೇಳಿದ್ದಾರಂತೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,"ಮೃಗ ಪಕ್ಷಿಗಳ ಕೂಗು ಪ್ರಕೃತಿ, ಅದರಲ್ಲಿಯ ಸ್ವರಪ್ರಬೇಧಗಳನ್ನು ಗುರುತಿಸಿ ಜೋಡಿಸಿ, ರಾಗವಿನ್ಯಾಸ ಮಾಡಿದ್ದು ಸಂಸ್ಕೃತಿ.",ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
ಮೃಗ,ಕಪಿಗಳಿಗೆ ಶಾಖಾ ಮೃಗ ಎಂದು ಹೆಸರಿದೆ.,ಪಶು,Animal,Yes,a,2025-02-03 10:15:13
