word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಕಸರತ್ತು,ಮತ್ತೊಂದೆಡೆ ಮುಖಂಡ ನವೀನ್‌ ಕಿರಣ್‌ ಅವರ ಬೆಂಬಲಿಗ ಸದಸ್ಯರು ನವೀನ್‌ ಅವರ ತಾಯಿ ನಿರ್ಮಲಾ ಪ್ರಭು ಅವರನ್ನು ಉಪಾಧ್ಯಕ್ಷೆ ಮಾಡಲು ಕಸರತ್ತು ನಡೆಸುತ್ತಿದ್ದಾರೆ.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,"ಹೇಗಾದ್ರೂ ಮಾಡಿ ಸಮ್ಮಿಶ್ರ ಸರ್ಕಾರವನ್ನು ಪತನ ಮಾಡಿ, ಅಧಿಕಾರದ ಗದ್ದುಗೆ ಏರಲು ಕಮಲ ಪಾಳೆಯ ಕಸರತ್ತು ನಡೆಸಿದೆ.",ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,29): ರಾಜ್ಯದಲ್ಲಿ ಅಧಿಕಾರಕ್ಕೆ ಬರಲು ಜೆಡಿಎಸ್ ಪಕ್ಷ ಇನ್ನಿಲ್ಲದ ಕಸರತ್ತು ನಡೆಸುತ್ತಿದೆ.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಮೇಯರ್ ಹಾಗೂ ಜಿಲ್ಲಾ ಪಂಚಾಯಿತಿ ಅಧ್ಯಕ್ಷೆ ಪ್ರಶಸ್ತಿ ಪ್ರಧಾನದ ವೇಳೆ ಪ್ರಶಸ್ತಿ ಪುರಸ್ಕೃತರ ಪಕ್ಕದಲ್ಲಿ ನಿಲ್ಲಲು ಈ ಇಬ್ಬರೂ ಕಸರತ್ತು ನಡೆಸಿದರು.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಅಧಿಕಾರ ಉಳಿಸಿಕೊಳ್ಳಲು ಏನೇ ಕಸರತ್ತು ಮಾಡಿದರೂ ಅದು ಫಲಿಸಲಿಲ್ಲ.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಹಿಂದೆ ಸಂಗೊಳ್ಳಿ ರಾಯಣ್ಣ ಬ್ರಿಗೆಡ್ ಹುಟ್ಟಿಕೊಂಡು ಬಿಜೆಪಿ ನಾಯಕತ್ವ ಬದಲಾವಣೆಗೆ ಕಸರತ್ತು ಶುರುಮಾಡಿದ್ದ ನಾಯಕರು ಈಗ ಸಹ ನಿಧಾನಕ್ಕೆ ಮುನ್ನೆಲೆಗೆ ಬಂದರೆ ಆಶ್ಚರ್ಯವಿಲ್ಲ.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,"ಈ ಬಾರಿಯ ಚುನಾವಣೆಯಲ್ಲಿ 18ರಿಂದ 30 ವರ್ಷದೊಳಗಿನ ಸುಮಾರು 30 ಲಕ್ಷಕ್ಕೂ ಹೆಚ್ಚು ಯುವ ಮತದಾ ರರು ಪ್ರಮುಖ ಪಕ್ಷಗಳ ಟಾರ್ಗೆಟ್ ಆಗಿದ್ದು, ಬಿಜೆಪಿ, ಕಾಂಗ್ರೆಸ್, ಜೆಡಿಎಸ್ ಸೇರಿದಂತೆ ಮತ್ತಿತರ ಪಕ್ಷಗಳು ಈ ಯುವಕರನ್ನೇ ಸೆಳೆಯಲು ನಾನಾ ರೀತಿಯ ಕಸರತ್ತು ನಡೆಸಿದ್ದಾರೆ.",ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಮ್ಯಾಜಿಕ್ ನಂ 18 ಕ್ಕೇರಲು ಬಿಜೆಪಿ ಕಸರತ್ತು ನಡೆಸುತ್ತಿದೆ ಎಂದು ತಿಳಿಸಿದರು.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಜೆಡಿಎಸ್ ಪಾಲಿನ ಒಂದು ಸ್ಥಾನಕ್ಕಾಗಿ ಕಸರತ್ತು ಆರಂಭವಾಗಿದೆ.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
ಕಸರತ್ತು,ಸಿನಿಮಾವನ್ನು ಚಿಕ್ಕಂದಿನಿಂದ ಧ್ಯಾನಿಸಿದ್ದು ಮತ್ತು ನಟನೆಯ ಕಸರತ್ತು ಕಲಿತದ್ದನ್ನು ಬಣ್ಣಿಸಿದರು ಕುಶಾಲ್.,ಶಕ್ತಿಯ ಹಾಗೂ ಚಮತ್ಕಾರದ ಪ್ರದರ್ಶನ,A show of strength and finesse,Yes,qwerty,2025-02-04 05:51:51
