lemma,sentence,sense,kannada_meaning,english_meaning
ಅಕ್ಷರ,"ಅವರು ಚಕ್ರವರ್ತಿ ಎನಿಸಿಕೊಂಡಳು ಮೊದಲು ಸುಧಾರಕ ತ್ಸಾರ್ ಪೀಟರ್ I ರೊಂದಿಗೆ ರಶಿಯಾದಲ್ಲಿ ಸಾಂಕೇತಿಕಾಕ್ಷರಗಳನ್ನೊಳಗೊಂಡಿದೆ ನೋಟವನ್ನು ಸಾಮಾನ್ಯವಾಗಿ ಸಂಬಂಧ, ವೈಯಕ್ತಿಕ ಸಾಂಕೇತಿಕಾಕ್ಷರಗಳ ಪೀಟರ್ ನಾನು ಲ್ಯಾಟಿನ್ ಅಕ್ಷರ ಪಿ ಪ್ರತಿಬಿಂಬದ ಒಳಗೊಂಡಿತ್ತು.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಯಾವಾಗಲೋ ತಂದಿಟ್ಟುಕೊಂಡಿದ್ದ ಎರಡೂವರೆ ರೂಪಾಯಿಯ ತಿಳಿನೀಲಿ ಅಂತರ್ದೇಶಿ ಪತ್ರದಲ್ಲಿ, ಸಾಲು ಡೊಂಕಾಗದ ಹಾಗೆ, ಒತ್ತಕ್ಷರ ಕೆಳಗಿನ ಸಾಲಿಗೆ ಅಡ್ಡಿಪಡಿಸದ ಹಾಗೆ, ಅಕ್ಷರ ವಕ್ರ ಹೋಗದ ಹಾಗೆ, ವ್ಯಾಕರಣ ತಪ್ಪಾಗದ ಹಾಗೆ ಎಚ್ಚರಿಕೆಯಿಂದ ಯೋಚಿಸಿ ಯೋಚಿಸಿ ಬರೆಯುತ್ತಿದ್ದಾಳೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಇನ್ನು ತುಳು ಓದಲು ಬರೆಯಲು ಆಸಕ್ತಿ ಇರುವವರಿಗಾಗಿ ಸ್ವರಗಳು, ವ್ಯಂಜನಗಳು, ಇತರ ಅಕ್ಷರಗಳು, ಲೇಖನ ಚಿಹ್ನೆಗಳು, ಉದ್ಧರಣ ಚಿಹ್ನೆಗಳು ಹಾಗೂ ಅಕ್ಷರ ಬಳಕೆಯ ವಿಧಾನಗಳನ್ನು ಕೂಡ ಇದರಲ್ಲಿ ವಿವರಿಸಲಾಗಿದೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಇದರ ಜೊತೆಯಲ್ಲಿ, ಅಕ್ಷರ ಬರವಣಿಗೆಯಲ್ಲಿ ಸ್ವರಗಳ ಹೆಸರಿನ ಹಲವು ರೂಢಿಗಳು ಒತ್ತಡದ ಉಪಸ್ಥಿತಿ ಅಥವಾ ಅನುಪಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸಿರುತ್ತದೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಅದೇ ಯೋಜನೆಯ ಪ್ರಕಾರ ಮತ್ತು ದೊಡ್ಡ ಅಕ್ಷರ ಡಿ ಚಿತ್ರಿಸುವ ಲೋಗೋ ಮಾಸ್ಕೋ ಡೈನಮೊ ಹೋದರು.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಅದೂ ಅಕ್ಷರ ರೂಪದ ಮಾತೇ ಅಲ್ಲವೇ?,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಮಕ್ಕಳು ಇಂಗ್ಲಿಷ್‌ ಅಕ್ಷರ ಗುರುತಿಸುತ್ತಾರೆ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಯಲ್ಲಿ ಅಕ್ಷರ ಬರದವರಿಗೆ ವಾರ್ಡನ್ ಜವಾಬ್ದಾರಿ ನೀಡಿದ್ದು, ಅವರ ಬದಲಿಗೆ ಹೊಸದಾಗಿ ನೇಮಕವಾಗಿರುವ ಅಡುಗೆಯವರು ಪಿಯುಸಿ, ಪದವಿ ಶಿಕ್ಷಣ ಪಡೆದಿದ್ದು, ಅಂತಹವರಿಗೆ ಜವಾಬ್ದಾರಿ ನೀಡುವಂತೆ ಸಮಾಜ ಕಲ್ಯಾಣ ಇಲಾಖೆಯ ಜಂಟಿ ನಿರ್ದೇಶಕರಾದ ಸಿಂಧು ಅವರಿಗೆ ತಿಳಿಸಿದರು.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"- ಹೆಸರು ಆರಂಭದಲ್ಲಿ ಅಕ್ಷರ ಅಥವಾ ಅಂಕಿಯ ಎಂದು, ಮತ್ತು ಇದು ಬಾಹ್ಯಾಕಾಶ ಮತ್ತು ವಿಶೇಷ ಐಟಂಗಳನ್ನು ಜೊತೆಗೆ, ಯಾವುದೇ ASCII ಅಕ್ಷರ ಹಾಜರಿದ್ದರು ಮಾಡಬಹುದು ಇನ್ ಮಾಡಬೇಕು;",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಈ ಗ್ರಂಥವನ್ನು ಅಂದವಾಗಿ ಅಕ್ಷರ ಜೋಡಣೆ ಹಾಗೂ ಮುದ್ರಣ ಮಾಡಿಕೊಟ್ಟ ಮಿತ್ರರಿಗೂ ವಂದನೆಗಳು,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ನೀವು ಚಿತ್ರವನ್ನು ತೆರೆಯಲು, ನೀವು ಏನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳುವ, ಆದರೆ ಆಟದ ಉದಾಹರಣೆಗೆ ಕೈಯನ್ನು, ಕಣ್ಣು, ಕಿರೀಟವನ್ನು ಹೀಗೆ ಪುಟ್ಟ ಅಂಶಗಳನ್ನು ಸೆಟ್ ಲೋಡ್ ವೇಳೆ, ಕಂಪ್ಯೂಟರ್ ಅಕ್ಷರ ರೂಪ ಗುರುತಿಸುತ್ತದೆ ಮತ್ತು ನಿಮ್ಮ ಪ್ರಮುಖ ಪಾತ್ರ ಇದು ಅನ್ವಯಿಸುವುದಿಲ್ಲ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಇತಿಹಾಸದ ಪುಟಗಳಲ್ಲಿ ಅಕ್ಷರ ಬರೆಸಿಕೊಂಡಿರುವ ಕಿತ್ತೂರನ್ನು ಅಕ್ಟೋಬರ್ 25ರಂದು 177ನೇ ತಾಲೂಕಾಗಿ ಮುಖ್ಯಮಂತ್ರಿ ಜಗದೀಶ್ ಶೆಟ್ಟರ್ ಅವರು ಘೋಷಿಸಿದ್ದಾರೆ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಸಹಿಯ ಮೊದಲ ಅಕ್ಷರ ದೊಡ್ಡದಿದ್ದರೆ :ಹೆಚ್ಚಾಗಿ ನಾಯಕತ್ವದ ಲಕ್ಷಣಗಳನ್ನು ಹೊಂದಿರುತ್ತೀರಿ(ಮಹಾತ್ಮ ಗಾಂಧಿ ಸಹಿಯಲ್ಲಿ ಮೊದಲ ಅಕ್ಷರದ ಗಾತ್ರ ದೊಡ್ಡದಾಗಿತ್ತು),1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಇಂಗ್ಲೀಷ್ ಅಕ್ಷರ ಯೂ ಆಕಾರದಲ್ಲಿರುವ ಕಣಿವೆ ಪ್ರದೇಶದಲ್ಲಿದೆ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಈ ಬಗ್ಗೆಯೂ ಕನ್ನಡ ಐಟಿ ಕಾರ್ಯಕರ್ತರೂ ಕೆಲವು ತಂತ್ರಾಂಶಗಳನ್ನು ರೂಪಿಸಿದ್ದು ಅವುಗಳನ್ನು ವಿಶೇಷವಾಗಿ ಕನ್ನಡದ ಅಕ್ಷರ ಜೋಡಣೆಯು ಬಳಕೆದಾರ ಸ್ನೇಹಿಯಾಗಿದೆ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಫೋನ್‌ ಪರದೆಯ ಮೇಲೆ ಮೋರ್ಸ್‌ ಸಂಕೇತಗಳನ್ನು ತಟ್ಟುವ ಮೂಲಕ ಬರೆದರೆ ಅದು ಅಕ್ಷರ ರೂಪ ಪಡೆದು, ನಂತರ ಧ್ವನಿಯಾಗಿ ಇನ್ನೊಂದು ತುದಿಯಲ್ಲಿರುವವರಿಗೆ ರವಾನೆಯಾಗುತ್ತದೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಅವುಗಳಲ್ಲಿ ಮೊದಲೆರಡು (ಕ್+ಕ್) ವ್ಯಂಜನಗಳಾಗಿದ್ದು ಕೊನೆಯಲ್ಲಿರುವ ಅಕ್ಷರ (ಅ) ಸ್ವರವಾಗಿದೆ.,1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಅನನುಭವಿ ಖಗೋಳಶಾಸ್ತ್ರಜ್ಞರು ಸಾಮಾನ್ಯವಾಗಿ ದೃಢವಾಗಿ ಗೊತ್ತು ಕೇವಲ 5 ಪ್ರಕಾಶಮಾನವಾದ ನಕ್ಷತ್ರಗಳು, ವಿಶಿಷ್ಟ ಆಕಾರಕ್ಕೆ ಲ್ಯಾಟಿನ್ ಅಕ್ಷರ «ವಾಟ್» ಇದೇ ರೂಪಿಸುವ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,"ಟೈರ್ ಗರಿಷ್ಟ ವೇಗವರ್ಧಕವನ್ನು ಪದನಾಮವನ್ನು ರಂದು ವೇಗದ ಮಿತಿಯನ್ನು ಸೂಚಿಸುತ್ತದೆ, ಲ್ಯಾಟಿನ್ ಅಕ್ಷರಮಾಲೆಯ ಒಂದು ಅಕ್ಷರ ಗುರುತಿಸಲಾಗಿದೆ.",1,ಲಿಪಿ,Font
ಅಕ್ಷರ,ಈ ಟೆಂಪ್ಲೆಟ್ಗಳು ಅಕ್ಷರ ಗಾತ್ರದ ಸುದ್ದಿಪತ್ರಗಳಿಗೆ ಮಾತ್ರ ಮತ್ತು ಇವುಗಳಿಗಾಗಿ ಟೆಂಪ್ಲೆಟ್ಗಳನ್ನು ಒಳಗೊಂಡಿವೆ:,1,ಲಿಪಿ,Font
