word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಹೃದಯ,Home ಕನ್ನಡ ವಾರ್ತೆಗಳು ಅಂತರಾಷ್ಟ್ರೀಯ ನೀವು ಹುಡುಗಿ ಹೃದಯ ಗೆಲ್ಲೋದು ಸುಲಭ!,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,13- ನಿನ್ನೆ ತಡರಾತ್ರಿ ದೊಂಬಿಯಿಂದ ಬೆಚ್ಚಿಬಿದ್ದಿದ್ದ ಬೆಳಗಾವಿ ನಗರದ ಹೃದಯ ಭಾಗ ಈಗ ಯಥಾಸ್ಥಿತಿಗೆ ಮರಳಿದ್ದು ಪೊಲೀಸ್ ಬಂದೋಬಸ್ತ್ ಮುಂದುವರೆದಿದೆ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಮೊದಲ ಸಿನಿಮಾದಲ್ಲಿ ತಮ್ಮ ಲುಕ್ ಮತ್ತು ನಟನೆ ಮೂಲಕ ಹೈದರಾಬಾದ್ ಹೈದರ ಹೃದಯ ಕದಿದ್ದ ಕನ್ನಡಕದ ಹುಡುಗಿ ಸಾನ್ವಿ ಈಗ ದೊಡ್ಡ ಅವಕಾಶ ಪಡೆದಿದ್ದಾರೆ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ನೀವು ಹುಡುಗಿ ಹೃದಯ ಗೆಲ್ಲೋದು ಸುಲಭ!,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,"ನಮ್ಮ ಹೃದಯ ಕಿತ್ತರೂ ಅಮಿತ್ ಶಾ, ಪ್ರಧಾನಿ ನರೇಂದ್ರ ಮೋದಿ ಕಾಣ್ತಾರೆ.","ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಒಂದು ಸಲ ನಿನ್ನ ನಗು ನೋಡಬೇಕೆಂದು ಹೃದಯ ಹಂಬಲಿಸಿದೆ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಇದರ ಜತೆಗೆ ಜಮ್ಮು ಮತ್ತು ಕಾಶ್ಮೀರದ ಜನರ ಹೃದಯ ಗೆಲ್ಲುವ ಪ್ರಯತ್ನವನ್ನೂ ಮಾಡಲಾಗುತ್ತಿದೆ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಹೃದಯ ಭಾರವಾಗಿದೆ,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಅದೇ ಸಮಯದಲ್ಲಿ ಮಾನವನ ಹೃದಯ ಸಾಮಾನ್ಯವಾಗಿ ವಿಚಿತ್ರವಾಗಿದೆ ಎಂದು ಅವನು ತೀರ್ಮಾನಿಸುತ್ತಾನೆ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
ಹೃದಯ,ಹುಡುಗಿಯರ ಹೃದಯ ಗೆಲ್ಲುವುದು ಹೇಗೆಂಬ ಬಗ್ಗೆ ಕೋರ್ಸ್ ಜರ್ಮನಿಯಲ್ಲಿ ಹೊಸದಾಗಿ ಮಾಡಿದ್ದಾರೆಂದು ಸುದ್ದಿ.,"ದಯೆ, ಕರುಣೆ",Kindness,Yes,k,2025-02-02 08:34:59
