word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ದಳ,"ವಿಷೇಷ ಅಪರಾಧ ಪತ್ತೆ ದಳ ಪೊಲೀಸರಿಗೆ ದೊರೆತ ಖಚಿತ ಮಾಹಿತಿ ಮೇರೆಗೆ ಮೂಡುಬಿದ್ರೆ ತೋಡಾರ್ ನಿವಾಸಿ, ದನಕಳ್ಳತನ ಪ್ರಕರಣಗಳಲ್ಲಿ ತಲೆಮರೆಸಿಕೊಂಡಿದ್ದ ಆರೋಪಿ ಬಶೀರ್ ಯಾನೆ ಆರ್ಗಾ ಬಶೀರ್ ಎಂಬಾತನನ್ನು ಬಂಧಿಸಿದ್ದಾರೆ.","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಕಪ್ಪುಹಣದ ಮೇಲಿನ ವಿಶೇಷ ತನಿಖಾ ದಳ ಈಗಾಗಲೇ 3 ಲಕ್ಷ ರೂಪಾಯಿಗೂ ಹೆಚ್ಚಿನ ನಗದು ವಹಿವಾಟನ್ನು ನಿಷೇಧಿಸಬೇಕು.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಆದಾಯಕ್ಕಿಂತ ಹೆಚ್ಚು ಆಸ್ತಿ ಗಳಿಕೆ ಆರೋಪದ ಮೇಲೆ ಕೆಐಎಡಿಬಿ ಮತ್ತು ಬಿಡಿಎ ಅಧಿಕಾರಿಗಳಿಬ್ಬರ ನಿವಾಸದ ಮೇಲೆ ಭ್ರಷ್ಟಾಚಾರ ನಿಗ್ರಹ ದಳ (ಎಸಿಬಿ) ಅಧಿಕಾರಿಗಳು ದಾಳಿ ನಡೆಸಿದ್ದಾರೆ.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,# ಶಿರೋಮಣಿ ಅಕಾಲಿ ದಳ - 26,"ಪಡೆ, ಸೈನ್ಯ",Army,No,Darshan R K,2025-02-08 14:45:44
ದಳ,ಮಡಿಕೇರಿ : ಚಿಪ್ಪುಹಂದಿಯನ್ನು ಅಕ್ರಮ ಬೇಟೆಯಾಡಿ ಕೊಂದು ಮಾರಾಟಕ್ಕೆ ಯತ್ನಿಸಿದ್ದ ಆರೋಪಿಗಳಿಬ್ಬರನ್ನು ವೀರಾಜಪೇಟೆ ಅರಣ್ಯ ದಳ ಪೊಲೀಸರು ಪತ್ತೆಹಚ್ಚಿ ತನಿಖೆ ನಡೆಸುತ್ತಿದ್ದಾರೆ.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಧಾರವಾಡ ಜಿಲ್ಲೆಯ ನವಲಗುಂದ ತಾಲೂಕಿನ ಜಾವುರು ಗ್ರಾಮದಲ್ಲಿ ಸಿಲುಕಿದ್ದ ದಂಪತಿಗಳನ್ನ ಅಗ್ನಿ ಶಾಮಕ ದಳ ರಕ್ಷಣೆ ಮಾಡಿದೆ.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,"ಮಹಾರಾಷ್ಟ್ರದ ವಿಚಾರವಾದಿ ಗೋವಿಂದ ಪನ್ಸಾರೆ ಅವರ ಕೊಲೆ ಪ್ರಕರಣದ ಕಿಂಗ್ ಪಿನ್ ಆಗಿರುವ ರುದ್ರೇಗೌಡ ಪಾಟೀಲ್‌ಗೆ ರಾಷ್ಟ್ರೀಯ ತನಿಖಾ ದಳ ರೆಡ್‌ಕಾರ್ನರ್ ನೋಟಿಸ್ ನೀಡಿದ್ದು, ಕಲ್ಬುರ್ಗಿ ಹತ್ಯೆಯಲ್ಲೂ ಈತನ ಕೈವಾಡ ಇರುವ ಬಲವಾದ ಶಂಕೆ ವ್ಯಕ್ತವಾಗಿದೆ.","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,": ಸಂಘ ಸಂಸ್ಥೆಗಳು ಹಾಗೂ ಜನರು ಸಾರ್ವಜನಿಕ ಸ್ಥಳಗಳಲ್ಲಿ ಗಣೇಶನ ವಿಗ್ರಹಗಳನ್ನು ಇಡಲು ಬಿಬಿಎಂಪಿ, ಬೆಸ್ಕಾಂ, ಅಗ್ನಿಶಾಮಕ ದಳ ಹಾಗೂ ಸಂಚಾರಿ ಪೊಲೀಸರಿಂದ ಅನುಮತಿ ಪತ್ರ ಪಡೆಯುವುದು ಕಡ್ಡಾಯ ಎಂದು ಪೊಲೀಸ್ ಪ್ರಕಟಣೆ ತಿಳಿಸಿದೆ.","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,: ಹೆಬ್ಬಲಸು ಮರದ ತುಂಡುಗಳನ್ನು ಅಕ್ರಮವಾಗಿ ಸಾಗಿಸುತ್ತಿದ್ದ ಪ್ರಕರಣವನ್ನು ಪತ್ತೆ ಹಚ್ಚಿರುವ ಕೊಡಗು ಜಿಲ್ಲಾ ಅಪರಾಧ ಪತ್ತೆ ದಳ ಒಟ್ಟು ೩.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಬಿ ಎಸ್ ಮಂಜುನಾಥ- ನಗರ ವಿಶೇಷ ದಳ,"ಪಡೆ, ಸೈನ್ಯ",Army,No,Darshan R K,2025-02-08 14:45:44
ದಳ,"ಮಾಹಿತಿ ತಿಳಿದು ಸ್ಥಳಕ್ಕಾಗಮಿಸಿದ ಕಾಸರಗೋಡು ಅಗ್ನಿಶಾಮಕ ದಳ ಮತ್ತು ಪೊಲೀಸರು ಮೃತದೇಹವನ್ನು ಮೇಲಕ್ಕೆತ್ತಿ ಮಹಜರು ನಡೆಸಿದ್ದು ,ಮೃತದೇಹವನ್ನು ಮರಣೋತ್ತರ ಪರೀಕ್ಷೆಗಾಗಿ ಪರಿಯಾರಂ ವೈದ್ಯಕೀಯ ಕಾಲೇಜು, ಆಸ್ಪತ್ರೆಗೆ ಕೊಂಡೊಯ್ಯಲಾಗಿದೆ .","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,"ಮನೆಯಲ್ಲಿದ್ದ ಗೃಹಪಯೋಗಿ ವಸ್ತುಗಳು ಸಂಪೂರ್ಣ ಬೆಂಕಿಗಾಹುತಿಯಾಗಿದ್ದು, ಸ್ಥಳಕ್ಕೆ ಅಗ್ನಿಶಾಮಕ ದಳ ಸಿಬ್ಬಂದಿ ಭೇಟಿ ನೀಡಿ ಬೆಂಕಿ ನಂದಿಸುವ ಕಾರ್ಯ ನಡೆಸಿದ್ದಾರೆ.","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಶ್ವಾನ ದಳ,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,"ಈ ಸಂದರ್ಭದಲ್ಲಿ ಭಜರಂಗ ದಳ ಶ್ರೀರಾಮ ಸೇನಾದ, ಕಾರ್ಯಕರ್ತರು ಇದ್ದರು.","ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
ದಳ,ಉಡುಪಿ: ಕರ್ನಾಟಕ ಪದವಿಪೂರ್ವ ಶಿಕ್ಷಣ ಇಲಾಖೆಯ ಬೆಂಗಳೂರು ಮಲ್ಲೇಶ್ವರಂನಲ್ಲಿರುವ ಕಚೇರಿಯಲ್ಲಿರುವ ಜಂಟಿ ನಿರ್ದೇಶಕರ ವಿರುದ್ಧ ಬೆಂಗಳೂರಲ್ಲಿರುವ ಭ್ರಚ್ಟಾಚಾರ ನಿಗ್ರಹ ದಳ (ಎಸಿಬಿ)ದ ಹೆಚ್ಚುವರಿ.,"ಪಡೆ, ಸೈನ್ಯ",Army,Yes,Darshan R K,2025-02-08 14:45:44
