word,sentence,sense
ಅಡಿ,ದೇಶದ ಹೆಮ್ಮೆಯ 75 ರೈಲ್ವೆ ನಿಲ್ದಾಣಗಳಲ್ಲಿ 100 ಅಡಿ ಎತ್ತರದಲ್ಲಿ ಬೃಹತ್‌ ತ್ರಿವರ್ಣ ಧ್ವಜ,2
ಅಡಿ,ಮೈಸೂರು ರಸ್ತೆಯ ಪಕ್ಕದಲ್ಲೇ ಇರುವುದರಿಂದ ಇಲ್ಲಿ ಚದರ ಅಡಿ ಜಾಗಕ್ಕೆ ₹10 ಸಾವಿರ ಮೌಲ್ಯವಿದೆ.,2
ಅಡಿ,ಸೆಲ್ಫಿ ವೇಳೆ ಆಯತಪ್ಪಿ 500 ಅಡಿ ಆಳದ ಪ್ರಪಾತಕ್ಕೆ ಬಿದ್ದು ಮಹಿಳೆ ಸಾವು!,2
ಅಡಿ,ಜೊತೆಗೆ ಒಂದೆಡೆ ಮಾಡುವ ಸಣ್ಣ ಸದ್ದು ಈ ಗ್ಯಾಲರಿಯ ಯಾವುದೇ ಭಾಗದಲ್ಲಿ ಅಂದರೆ ೧೨೫ ಅಡಿ ದೂರದಲ್ಲಿ ಸ್ಪಷ್ಟವಾಗಿ ಕೇಳುತ್ತದೆ.,2
ಅಡಿ,ಐಪಿಸಿ ‘354ಡಿ’ ಅಡಿ ದಾಖಲಾದ ಪ್ರಕರಣಗಳ ಜಿಲ್ಲಾವಾರು ವಿವರ,1
ಅಡಿ,ಗರಿಷ್ಠ 750 ಅಡಿ ಎತ್ತರದಿಂದ ಜಿಗಿದಿದ್ದೇನೆ.,2
ಅಡಿ,"1,200 ಅಡಿ ಎತ್ತರವಿರುವ ಮಧುಗಿರಿ ಬೆಟ್ಟವನ್ನು 15 ಕಾಲೇಜುಗಳ 1,853 ವಿದ್ಯಾರ್ಥಿಗಳು ಏಕಕಾಲಕ್ಕೆ ಹತ್ತಿ ‘ಇಂಡಿಯಾ ಬುಕ್ ಆಫ್ ರೆಕಾರ್ಡ್’ಗೆ ಸೇರ್ಪಡೆಯಾಗಿದ್ದಾರೆ.",2
ಅಡಿ,"1,200 ಅಡಿ ಎತ್ತರವಿರುವ ಮಧುಗಿರಿ ಬೆಟ್ಟವನ್ನು 15 ಕಾಲೇಜುಗಳ 1,853 ವಿದ್ಯಾರ್ಥಿಗಳು ಏಕಕಾಲಕ್ಕೆ ಹತ್ತಿ ‘ಇಂಡಿಯಾ ಬುಕ್ ಆಫ್ ರೆಕಾರ್ಡ್’ಗೆ ಸೇರ್ಪಡೆಯಾಗಿದ್ದಾರೆ.",2
ಅಡಿ,"ಬೈಕೆಕುಪ್ಪೆ ಪೊಲೀಸ್ ಠಾಣೆಯಲ್ಲಿ ಐಪಿಸಿಯ 370ನೇ (ಮಾನವ ಕಳ್ಳಸಾಗಣೆ) ಮತ್ತು ಜೀತಕಾರ್ಮಿಕ ನಿರ್ಮೂಲನಾ ಕಾಯ್ದೆಯ ಸೆಕ್ಷನ್ 16, 17, ಮತ್ತು 18 ಅಡಿ ಈ ಪ್ರಕರಣ ದಾಖಲು ಮಾಡಲಾಗಿದೆ.",1
ಅಡಿ,ಮನೆಯ ಹಾಲ್‍ನ ಒಳಗೆ ಸಿಕ್ಕಿತು ವಿಗ್ರಹ- ಭೂಮಿ ಅಗೆದಾಗ 6 ಅಡಿ ಕೆಳಗೆ ಸಿಕ್ಕಿತು ಸಾವಿರ ವರ್ಷದ ಹಿಂದಿನ ಬಿಂಬ,2
