word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ಮದ್ದು,ಕೃಷಿ ಕಾರ್ಮಿಕರ ಕೊರತೆಯಿಂದ ಅಡಿಕೆಗೆ ಮದ್ದು ಹೊಡೆಯಲು ಸಕಾಲದಲ್ಲಿ ಕೊನೆಗೌಡರು ಸಿಗುತ್ತಿಲ್ಲ.,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,No,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,"ಈ ವಿಧಾನವು ಬೆಳವಣಿಗೆಗಳು ಕೆ Silin, ಮದ್ದು ಗುಂಡಿನ ಪೆಟ್ಟಿಗೆ ಯಾ ಬಂಡಿ ಅಡಿಪಾಯ, ಸಾಮಾನ್ಯವಾಗಿ ತುಂಬಿದ ಒಂದು ಹೆಚ್ಚು ರೆಸಲ್ಯೂಶನ್, ಹೊಂದಿರುವ ವಸ್ತುಗಳು ಕಾಮಗಾರಿಯಲ್ಲಿ ಬಳಸಿದ ಹೊರಗಿಟ್ಟಿತು ವ್ಯತ್ಯಾಸವೆಂದರೆ ಜೊತೆ ಟ್ರಾನ್ಸ್ ಸೈಬೀರಿಯನ್ ಕಲಿತ .","ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,ಅದರ ಮೇಲೆ ಹೆಲಿಕಾಪ್ಟರ್ನಲ್ಲಿ ಮದ್ದು ಬಿಡುತ್ತಿದ್ದರೆಂದು ಜನ ಹೇಳುತ್ತಿದ್ದರು ಎಂದು ಸುಶೀಲ್ ನೆನಪಿಸಿಕೊಳ್ಳುತ್ತಾರೆ.,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,"ಸುಳುಗೋಡು ಗ್ರಾಮದಲ್ಲಿ ಸಾವಿಗೀಡಾದ ಕಾಡಾನೆ ದೇಹದಲ್ಲಿ ಎರಡು ಮದ್ದು ಗುಂಡುಗಳು ಪತ್ತೆಯಾಗಿದ್ದು, ಶವ ಪರೀಕ್ಷೆ ಸಂದರ್ಭ ಸಿಕ್ಕಿದ ಮದ್ದುಗುಂಡುಗಳನ್ನು ವಶ ಪಡಿಸಿಕೊಳ್ಳಲಾಗಿದೆ ಎಂದು ತಿಳಿದು ಬಂದಿದೆ.","ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,ಮದ್ದು ಗುಂಡು ಫಿರಂಗಿಗಳ ಅಮೆರಿಕ ಸಂಯುಕ್ತ ಸಂಸ್ಥಾನದ ಸೈನ್ಯದ ಮುಂದೆ ಗರುಡನ ಗರಿಯ ಯುವಕರು ಇರುವೆಗಳಂತೆ ಸತ್ತರು.,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,"ನೀವು ಈಗಾಗಲೇ ಯಾವುದೇ ಮದ್ದು ನೀವು ಸ್ಫೋಟಕ ಮಾಡಲು ನಿಖರವಾಗಿ ಹೇಗೆ ತಿಳಿದಿರುವಂತೆ, ಸ್ಪೋಟಕ ಮಾಡಬಹುದು ತಿಳಿದಿದೆ ಮದ್ದು.","ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,ಎಲ್ಲ ಘಟಾನುಘಟಿ ವೈದ್ಯರೂ ವ್ಯಾಯಾಮವೇ ಅದಕ್ಕೆ ಮದ್ದು ಎನ್ನುತ್ತಾರೆ.,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,No,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,ಬಳಕೆಯಾಗುತಿವೆ ಅದೇ ಮದ್ದು ಗುಂಡುಗಳು,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,ಸುತ್ತಮುತ್ತ ಮದ್ದು ಗುಂಡುಗಳು ಹಾರುತ್ತಿದ್ದರೂ ಕಲ್ಲುಗಳ ತೂರಾಟ ಹೆಚ್ಚಾಗಿದ್ದರೂ ಅಲ್ಲಿ ಪ್ರೇಮಪುಷ್ಪಗಳು ಯಥಾಪ್ರಕಾರ ಅರಳುತ್ತಲೇ ಇವೆ.,"ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
ಮದ್ದು,"9: ಭಾರತದ ಕ್ರಿಕೆಟ್ ನಿಯಂತ್ರಣ ಮಂಡಳಿ(ಬಿಸಿಸಿಐ) ಕೊನೆಗೂ ರಾಷ್ಟ್ರೀಯ ಉದ್ದೀಪನಾ ಮದ್ದು ನಿಗ್ರಹ ಘಟಕ(ನಾಡಾ)ವ್ಯಾಪ್ತಿಗೆ ಸೇರ್ಪಡೆಯಾಗಲು ಒಪ್ಪಿಕೊಂಡಿದ್ದು, ಆರ್ಥಿಕವಾಗಿ ಸ್ವಾಯತ್ತತೆ ಹೊಂದಿದ್ದರೂ ಇದೀಗ ಅಧಿಕೃತವಾಗಿ ರಾಷ್ಟ್ರೀಯ ಕ್ರೀಡಾ ಒಕ್ಕೂಟವಾಗಲಿದೆ.","ಅಗ್ನಿಸ್ಫೋಟಕ, ಸಿಡಿ ಮದ್ದು",Gunpowder,Yes,Darshan R K,2025-02-08 14:05:27
