word,sentence,kannada_meaning,english_meaning,is_correct,annotator,timestamp
ನರ,"ನಮ್ಮ ಪರವಾಗಿ ಶತಕೋಟಿ ನರ ಕೋಶಗಳು ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿವೆ, ಬುದ್ಧಿವಂತಿಕೆಯಿಂದ ಯೋಚಿಸಲು, ಮಾಹಿತಿಯನ್ನು ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲು ಮತ್ತು ನಿರ್ಧಾರಗಳನ್ನು ತೆಗೆದುಕೊಳ್ಳಲು ನಮಗೆ ಅನುವು ಮಾಡಿಕೊಡುತ್ತದೆ.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,"ಕೇಂದ್ರ ನರ ವ್ಯವಸ್ಥೆಯ ರೋಗ ಮಕ್ಕಳು - ತಜ್ಞರು ಅವುಗಳಲ್ಲಿ, Sevoran ಅಸ್ತಿತ್ವದ ಸಮಯದಲ್ಲಿ ಔಷಧ ಮಕ್ಕಳ ದೊಡ್ಡ ಸಂಖ್ಯೆಯಲ್ಲಿ ಚಿಕಿತ್ಸೆ ಗಮನಿಸಿ.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,ದೇಹದ (ಫೀನೈಲ್ಕೀನೋಟ್ಯೂರಿಯ) ವಿಷ ವಸ್ತುಗಳನ್ನು ಕ್ರೋಢೀಕರಣ ಅನುವಂಶೀಯ ನರ ಹಾನಿ.,"ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,ಅತ್ಯಂತ ಸೂಕ್ಷ್ಮ ನರ ಮತ್ತು ನಿರ್ನಾಳ ಸಿಸ್ಟಮ್ಸ್.,"ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,ನರ ಮತ್ತು ಒತ್ತಡ ಸಂಬಂಧಿ ಪರಿಸ್ಥಿತಿಗಳಲ್ಲಿ ಅತ್ಯಂತ ಪ್ರಯೋಜನಕಾರಿಯಾಗಿ ಬಳಸಲ್ಪಡುತ್ತದೆ.,"ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,"ಮೆದುಳಿನ ಸಂಭವಿಸುವ ನರ ಸಂಪರ್ಕಗಳನ್ನು, ಅಂದರೆ, ಆಲೋಚನೆಗಳು ನರಮಂಡಲದ ವಾಸ್ತವ ಘಟನೆ ರೀತಿಯಲ್ಲಿ ಉತ್ತೇಜಿಸುತ್ತದೆ.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,"ಮಾನವ ಶಕ್ತಿ, ಇದು ನರ ಮತ್ತು ಸ್ನಾಯು ಶಕ್ತಿ ಸಂಗ್ರಹವಾಗಿದೆ, ಸಾಮರಸ್ಯ ಅಭಿವೃದ್ಧಿ ಮತ್ತು ನಮ್ಮ ಜೀವನಾಧಾರ ಪ್ರಚಾರ.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,"ವಿಶೇಷವಾಗಿ ಜಠರದುರಿತ, ಅಧಿಕ ರಕ್ತದೊತ್ತಡ, ಬಳಲಿಕೆ, ರಕ್ತಹೀನತೆ, ಮಧುಮೇಹ ಮತ್ತು enterocolitis ಫಾರ್ ನರ ಮತ್ತು ಹೃದಯರಕ್ತನಾಳದ ವ್ಯವಸ್ಥೆಯ ಕಾಯಿಲೆಗಳನ್ನು, ಅವುಗಳನ್ನು ಬಳಸಲು ಶಿಫಾರಸು.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,ಸಾಮಾನ್ಯವಾಗಿ ನರ ಬೇರುಗಳು ಎಂದು ಕರೆಯಲ್ಪಡುವ ಡರ್ಮಟೊಮ್ಗಳು ನಿಮ್ಮ ನರಮಂಡಲದ ಬಗ್ಗೆ ನಿಮ್ಮ ಚರ್ಮದಲ್ಲಿ ಭಾವನೆ ಮೂಡಿಸುವ ಬಗ್ಗೆ ಮಾಹಿತಿಯನ್ನು ನೀಡುತ್ತದೆ.,"ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
ನರ,"ಕೆಲವು ತಜ್ಞರು ಚಿತ್ತ, ಚೇತರಿಕೆ, ಯುದ್ಧ ನಿದ್ರಾಹೀನತೆ ಮತ್ತು ನರ ಜೀವಕೋಶಗಳ ಸಾಮಾನ್ಯ ಸೆಟ್ ಮೀನು ತಿನ್ನುವ ಶಿಫಾರಸು.","ಅವಯವಗಳಿಂದ ಸಂವೇದನೆಗಳನ್ನೂ, ಮೆದುಳಿನಿಂದ ಅವಯವಗಳಿಗೆ ಸೂಚನೆಗಳನ್ನು ಒಯ್ಯುವ - ತಂತು, ಸೆರೆ",Nerve,Yes,a,2025-02-07 15:39:56
